tanggal,pr
1978-01-31,240.0
1978-02-28,368.0
1978-03-31,118.0
1978-04-30,86.0
1978-05-31,164.0
1978-06-30,51.0
1978-07-31,39.0
1978-08-31,12.0
1978-09-30,2.0
1978-10-31,0.0
1978-11-30,189.0
1978-12-31,264.0
1979-01-31,424.0
1979-02-28,158.0
1979-03-31,427.0
1979-04-30,13.0
1979-05-31,49.0
1979-06-30,22.0
1979-07-31,0.0
1979-08-31,0.0
1979-09-30,0.0
1979-10-31,4.0
1979-11-30,87.0
1979-12-31,190.0
1980-01-31,609.0
1980-02-29,578.0
1980-03-31,67.0
1980-04-30,93.0
1980-05-31,18.0
1980-06-30,6.0
1980-07-31,0.0
1980-08-31,0.0
1980-09-30,0.0
1980-10-31,19.0
1980-11-30,160.5
1980-12-31,427.3976908647086
1981-01-31,691.0
1981-02-28,464.8389121338912
1981-03-31,183.45454545454544
1981-04-30,18.0
1981-05-31,46.0
1981-06-30,30.0
1981-07-31,20.5
1981-08-31,0.0
1981-09-30,43.0
1981-10-31,4.0
1981-11-30,325.24391431353456
1981-12-31,892.2163428308118
1982-01-31,447.0
1982-02-28,419.0
1982-03-31,386.0
1982-04-30,40.0
1982-05-31,7.0
1982-06-30,4.0
1982-07-31,2.0
1982-08-31,0.0
1982-09-30,0.0
1982-10-31,0.0
1982-11-30,77.0
1982-12-31,162.0
1983-01-31,446.0
1983-02-28,420.0
1983-03-31,238.0
1983-04-30,197.0
1983-05-31,50.0
1983-06-30,0.0
1983-07-31,0.0
1983-08-31,0.0
1983-09-30,0.0
1983-10-31,58.0
1983-11-30,109.0
1983-12-31,114.0
1984-01-31,790.0
1984-02-29,483.0
1984-03-31,259.0
1984-04-30,21.0
1984-05-31,12.0
1984-06-30,1.0
1984-07-31,3.0
1984-08-31,0.0
1984-09-30,29.0
1984-10-31,34.0
1984-11-30,51.0
1984-12-31,417.0
1985-01-31,196.0
1985-02-28,184.0
1985-03-31,124.0
1985-04-30,54.0
1985-05-31,0.0
1985-06-30,5.0
